studyName,ReferencePI,Source,Reference_dunic,FigsTables,PubGrayRaw,Peer,Collector,DataThief,SysOrig,Sys,Sys_dunic,Lat,Long,Loc,Event,Event1,Event2,Notes
Beukema,Beukema.Dekker.2011,Helgoland Marine Research 65:155-164,"Beukema, 2011",Figure 1b,Pub,Published,RE,Yes,intertidal mudflat,softBottom,intertidal mudflat,52.931,4.863,"Balgzand, Wadden Sea, The Netherlands",Yes,Warming,Invasion,S is the average site-scale richness for 15 sites at each time point
Frid2009,Frid.etal.2009,Journal of Marine Systems 77: 227-236,"Frid, 2009",Figure 2,Pub,Published,RE,Yes,soft bottom subtidal,softBottom,subtidal mudflat,55.117,-1.333,Central western North Sea,No,NA,NA,"Generic richness, thus less likely to be affected by improvements in taxonomy"
Barrett,Barrett.etal.2007,JEMBE 345:141-157,"Barrett, 2007","Figure 5, 9, 12",Pub,Published,ARW,Yes,hard bottom subtidal,hardBottom,rocky subtidal,-42.81,148.23,Tasman Sea,Yes,MPA,NA,
Carballo,Carballo.etal.2008,Marine Ecology 29: 216-236,"Carballo, 2008","Figure 6, 7",Pub,Published,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,23.238,-106.471,"Mazatlan Bay, Mexico",No,NA,NA,
Dittmann,Dittmann.1998,Hydrobiologia 383: 41-47,"Dittmann, 1998",Table 3,Pub,Published,RE,No,soft bottom subtidal,softBottom,subtidal mudflat,-18.308,146.1,"Hinchinbrook Channel, Queensland, Australia",No,NA,NA,
Gooday,Gooday.etal.2010,Deep-Sea Research II 57:1362-1382,"Gooday, 2010",Table 4,Pub,Published,RE,No,soft bottom subtidal,softBottom,subtidal mudflat,49,16.5,Porcupine Abyssal Plain,No,NA,NA,
Greenwood,Greenwood.etal.2002,Journal of Fish Biology 61:90-104,"Greenwood, 2002",Figure 2,Pub,Published,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,56.035,-3.586,"Forth Estuary, Scotland",No,NA,NA,
Hall,Hall.etal.1996,ICES Journal of Marine Science 53: 1014-1023,"Hall, 1996",Table 1,Pub,Published,RE,No,soft bottom subtidal,softBottom,subtidal mudflat,54.98,-1.532,"Tyne Estuary, UK",Yes,PollutionCessation,NA,
Hawkins,Hawkins.etal.2006,Biological Conservation 127:487-499,"Hawkins, 2006",Figure 2e,Pub,Published,RE,Yes,coral reef,coralReef,coral reef,13.837,-61.076,"Soufriere Bay, St. Lucia",Yes,MPA,NA,
IbarraObando,Ibarra-Obando.etal.2010,Estuaries and Coasts 33:753-768,"Ibarra-Obando, 2010",Appendix 1,Pub,Published,RE,No,salt marsh,macrophyte,salt marsh,31.72,-116.654,"Estero de Punta Banda, Baja California, Mexico",Yes,DikeConstruction,NA,
Ivanov,Ivanov.etal.2013,Hydrobiologia 706: 191-204,"Ivanov, 2013",Table 1,Pub,Published,RE,No,soft bottom subtidal,softBottom,subtidal mudflat,66.215,33.92,"Nikolskaya Inlet, Kandalaksha Gulf, White Sea, Russia",Yes,MusselFarmEffluent,MusselFarmRemoval,
Jones,Jones.West.2005,"Estuarine, Coastal and Shelf Science 64: 277-288","Jones, 2005",Figure 3,Pub,Published,RE,Yes,seagrass,macrophyte,seagrass,-35.5111,150.66,Southeast Australia,No,NA,NA,
Keller,Keller.etal.2011,Fishery Bulletin 110:205-222,"Keller, 2011",Figure 7,Pub,Published,TI,Yes,hard bottom subtidal,hardBottom,rocky subtidal,45.412,-124.187,"Washington State, USA",No,NA,NA,strong relationship between richness and PDO
Kilfoyle,Kilfoyle.etal.2013,Ocean and Coastal Management 75:53-62,"Kilfoyle, 2013",Table 1 and 2,Pub,Published,JD,No,hard bottom subtidal,hardBottom,rocky subtidal,26.018,-80.112,"Hollywood Beach, FL, USA",Yes,ArtificialReef,NA,
Masuda,Masuda.2008,Environmental Biology of Fishes 82:387-399,"Masuda, 2008",Figure 2,Pub,Published,RE,Yes,hard bottom subtidal,hardBottom,rocky subtidal,35.547,135.349,"Wakasa Bay, Nagahama, Kyoto, Japan",No,NA,NA,
McClanahan,McClanahan.Maina.2003,Ecosystems 6:551-563,"McClanahan, 2003","Figure 2a, 5a",Pub,Published,PK,Yes,coral reef,coralReef,coral reef,-4.05,39.72,"Mombasa, Kenya, Africa",Yes,ElNino98,NA,
McLusky,McLusky.Martins.1998,Marine Pollution Bulletin 36:791-798,"McLusky, 1998",Table 2,Pub,Published,RE,No,intertidal mudflat,softBottom,intertidal mudflat,56.029,-3.657,"Kinneil, Forth Estuary, Scotland",Yes,PollutionCessation,NA,
Miller,Miller.Shanks.2005,Marine Ecology Progress Series 305:177-191,"Miller, 2005",Table 1,Pub,Published,RE,No,pelagic,pelagic,pelagic,43.347,-124.321,"Coos Bay, Oregon, USA",No,NA,NA,
Noble,Noble.etal.2013,PLOS One 8(1) e54069,"Noble, 2013","Figure 3a, c, f",Pub,Published,RE,Yes,coral reef,coralReef,coral reef,17.615,-63.254,"Saba, Caribbean Sea",Yes,MPA,NA,
Robinson,Robinson.Yakimishyn.2013,Canadian Journal Fisheries and Aquatic Sciences 70:775-784,"Robinson, 2013",Figure 3,Pub,Published,TI,Yes,seagrass,macrophyte,seagrass,49.133,-125.963,"Vancouver Island, British Columbia, Canada",No,NA,NA,"Emailed for abundances, GPS, and other data but no response"
Sheaves,Sheaves.Johhnston.2010,Aquatic Conservation: Marine and Freshwater Ecosystems 20:348-356,"Sheaves, 2010",Table 1,Pub,Published,MH,No,soft bottom subtidal,softBottom,subtidal mudflat,-19.271,146.788,"Townsville, Australia",No,NA,NA,
